Deutsch	Wissenschaftlich
Alpen-Mannsschild	Androsace alpina
Schweizer Mannsschild	Androsace helvetica
Stumpfblättriger Mannsschild	Androsace obtusifolia
Vandellis Mannsschild	Androsace vandellii
Rote Felsen-Primel	Primula hirsuta
Kornelkirsche	Cornus mas
Krähenbeerengewächse	Empetraceae
Zwittrige Krähenbeere	Empetrum hermaphroditum
Alpen-Heckenkirsche	Lonicera alpigena
Schwarze Heckenkirsche	Lonicera nigra
Nüsslisalat	Valerianella locusta
Blumen-Esche	Fraxinus ornus
Hundsgiftgewächse	Apocynaceae
Kleines Immergrün	Vinca minor
Feld-Enzian	Gentiana campestris
Deutscher Enzian	Gentiana germanica
Gelber Enzian	Gentiana lutea
Punktierter Enzian	Gentiana punctata
Purpur-Enzian	Gentiana purpurea
Gewöhnliches Kreuzlabkraut	Cruciata laevipes
Kreuzlabkraut	Cruciata
Meister	Asperula
Hügel-Meister	Asperula cynanchica
Ungleichblättriges Labkraut	Galium anisophyllum
Gelbes Labkraut	Galium verum
Solanales	Solanales
Convolvulaceae	Convolvulaceae
Calystegia sepium	Calystegia sepium
Convolvulus arvensis	Convolvulus arvensis
Cuscuta epithymum	Cuscuta epithymum
Cuscutaceae	Cuscutaceae
Solanum	Solanum
Solanum tuberosum	Solanum tuberosum
Datura stramonium	Datura stramonium
Myosotis alpestris	Myosotis alpestris
Myosotis arvensis	Myosotis arvensis
Eritrichium nanum	Eritrichium nanum
Pulmonaria obscura	Pulmonaria obscura
Pinguicula alpina	Pinguicula alpina
Pinguicula vulgaris	Pinguicula vulgaris
Plantago atrata	Plantago atrata
Chaenorrhinum minus	Chaenorrhinum minus
Digitalis grandiflora	Digitalis grandiflora
Verbascum lychnitis	Verbascum lychnitis
Linaria vulgaris	Linaria vulgaris
